herd_name,herd_rank_2024,herd_pct_2024,herd_rd_2024_000
U. Health Sciences and Pharmacy in St. Louis,545,41.71,2940
U. Richmond,546,41.61,2924
Eastern Washington U.,547,41.5,2857
"U. Louisiana, Monroe",548,41.39,2852
Lewis and Clark C.,549,41.29,2847
"C. New Jersey, The",550,41.18,2844
Merrimack C.,551,41.07,2824
U. Wisconsin-River Falls,552,40.96,2770
Northeastern Illinois U.,553,40.86,2764
St. Lawrence U.,554,40.75,2759
Kettering U.,555,40.64,2757
"U. South Carolina, Upstate",556,40.54,2749
Skidmore C.,557,40.43,2723
Central Washington U.,558,40.32,2701
Marymount U.,559,40.21,2691
"CUNY, system office",560,40.11,2688
Chicago State U.,561,40.0,2684
Youngstown State U.,562,39.89,2682
La Sierra U.,563,39.79,2661
Lafayette C.,564,39.68,2646
U. Texas of the Permian Basin,565,39.57,2637
Quinnipiac U.,566,39.46,2577
Black Hills State U.,567,39.36,2552
U. Wisconsin-Green Bay,568,39.25,2506
Pittsburg State U.,569,39.14,2490
"U. Illinois, Springfield",570,39.04,2453
Virginia Military Institute,571,38.93,2440
Calvin U.,572,38.82,2414
State U. New York at Buffalo State U.,573,38.71,2398
"California State U., Stanislaus",574,38.61,2391
Seattle Pacific U.,575,38.5,2378
"U. Alaska, Southeast",576,38.39,2376
Florida Polytechnic U.,577,38.29,2372
John Carroll U.,578,38.18,2362
Savannah State U.,579,38.07,2356
Mount Holyoke C.,580,37.96,2333
U. Pacific,581,37.86,2295
Touro U.,582,37.75,2263
Western Carolina U.,583,37.64,2254
Morehead State U.,584,37.54,2253
"Union C., Schenectady",585,37.43,2184
Utah Valley U.,586,37.32,2178
Stockton U.,587,37.21,2173
Manhattan C.,588,37.11,2168
Colorado C.,589,37.0,2148
"U. Puerto Rico, Cayey",590,36.89,2111
Alaska Pacific U.,591,36.79,2066
California Baptist U.,592,36.68,2051
Emerson C.,593,36.57,2046
Bates C.,594,36.46,2023
U.S. Coast Guard Academy,595,36.36,2011
Ferris State U.,596,36.25,1989
"U. Michigan, Flint",597,36.14,1984
Lipscomb U.,598,36.04,1950
Nevada State U.,599,35.93,1948
Hobart and William Smith Colleges,600,35.82,1944
Marshall B. Ketchum U.,601,35.71,1932
Macalester C.,601,35.71,1932
U. Hartford,603,35.5,1931
